Tuition fees up to date,Course,Age at enrollment,Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,171,20,0,0,0,0,0,0,0,1
0,9254,19,6,6,14,6,6,6,13.66666667,3
0,9070,19,0,0,0,6,0,0,0,1
1,9773,20,8,6,13.42857143,6,10,5,12.4,3
1,8014,45,9,5,12.33333333,6,6,6,13,3
1,9991,50,10,5,11.85714286,5,17,5,11.5,3
1,9500,18,9,7,13.3,8,8,8,14.345,3
0,9254,22,5,0,0,5,5,0,0,1
1,9238,21,8,6,13.875,6,7,6,14.14285714,3
0,9238,18,9,5,11.4,6,14,2,13.5,1
1,9670,18,6,6,12.33333333,6,7,5,14.2,3
1,9500,18,8,7,13.21428571,8,8,7,13.21428571,3
1,9853,19,6,0,0,6,0,0,0,1
1,9254,21,7,6,10.57142857,6,8,5,11,3
1,9085,18,7,4,13.25,5,5,5,12,3
1,9773,20,6,5,13.2,6,7,0,0,1
1,9238,18,10,1,12,6,14,2,11,2
1,9500,18,8,7,13.30625,8,8,8,14.545,3
1,9130,20,8,4,12.5,5,8,4,12.25,3
1,9853,18,7,6,11.66666667,7,8,6,13.5,2
1,171,21,0,0,0,0,0,0,0,3
1,9556,20,14,7,11.4375,8,9,8,11.425,2
1,9500,18,12,7,12.85714286,8,12,7,12.85714286,3
1,9670,19,8,6,13.375,6,7,6,12.28571429,3
1,9500,19,8,6,13.29666667,8,9,7,14.11428571,3
1,9238,18,8,5,11.6,6,12,4,11,2
1,9238,21,9,6,11.375,6,9,6,13.28571429,3
1,9085,18,9,5,12.66666667,5,7,4,13,2
1,9147,20,6,5,12,5,6,5,12.33333333,3
1,9500,19,9,6,12.93333333,7,7,6,13.71666667,2
1,9003,21,15,5,11.85714286,6,17,5,10.57142857,2
1,9070,20,7,6,12.83333333,6,9,4,13.4,3
0,9147,18,9,3,11.33333333,5,8,2,13.5,2
1,8014,19,6,6,12.66666667,6,8,6,14.375,3
1,9991,34,6,5,12.4,5,9,5,13.42857143,3
0,33,37,7,0,0,7,7,1,10,1
1,9119,43,0,0,0,5,0,0,0,1
1,9147,55,10,1,10,5,8,2,12,1
1,9991,39,8,5,11,5,5,5,11.6,3
0,9130,20,13,3,11.66666667,6,11,3,12,1
1,9773,18,6,4,12.75,5,5,0,0,1
1,9147,22,5,5,14.8,5,5,5,15.8,3
1,9500,22,9,5,13.928,8,9,7,14.34285714,3
0,9773,20,7,4,13,6,7,5,13.8,1
1,9991,29,0,0,0,5,0,0,0,1
1,9991,24,9,2,11.5,5,11,3,14.33333333,2
1,9238,18,6,6,11.66666667,6,8,5,13.2,3
1,9500,22,8,6,13.51666667,8,9,7,13.77142857,3
1,8014,21,6,6,11.5,6,7,6,13.28571429,3
1,9238,19,7,5,12.33333333,6,7,6,12.83333333,3
1,9254,24,6,6,13.66666667,6,6,6,14.16666667,3
1,9500,19,10,6,11.83333333,8,10,6,11.83333333,2
1,9773,20,11,4,14,6,12,3,11,2
1,9130,19,7,5,14.71428571,5,5,5,15.8,3
1,9991,27,12,5,10.6,5,10,5,11,1
1,9500,18,9,7,13.04444444,8,10,8,13.595,3
1,9254,39,10,0,0,6,6,0,0,1
1,9130,27,9,5,13,11,13,10,12.9,1
1,9500,18,8,8,14.935,8,8,8,14.935,3
1,171,18,0,0,0,0,0,0,0,2
1,9500,18,8,6,13.13333333,8,12,7,12.22142857,3
1,9238,21,7,6,12,6,7,6,12,3
1,171,19,0,0,0,0,0,0,0,2
1,9070,19,6,5,11.4,6,8,1,10,2
1,9070,24,6,0,0,6,6,0,0,2
1,9500,29,10,5,11.9,8,10,5,11,1
1,171,19,0,0,0,0,0,0,0,3
1,9003,23,8,6,12.57142857,6,7,6,12.42857143,3
1,9147,19,8,5,11.2,5,10,4,10.75,1
1,9254,26,7,6,12,6,8,5,10.8,2
1,9147,18,9,0,0,5,5,0,0,2
1,9500,24,8,7,11.975,8,8,8,13.75,3
1,171,19,0,0,0,0,0,0,0,1
1,9254,18,12,3,11.66666667,6,12,1,12,1
1,9773,18,8,6,12.33333333,6,11,3,12.33333333,3
1,9147,18,8,3,10.33333333,5,11,3,10.85714286,1
1,9254,21,8,4,10.5,6,11,1,11,1
1,9773,19,6,6,13.66666667,6,6,6,13.33333333,3
1,9500,22,7,7,14.84285714,8,9,8,15.05555556,3
1,8014,33,8,6,12,6,6,6,11.66666667,3
1,9853,20,8,5,12.2,6,7,5,12.2,1
1,9991,35,1,0,0,5,0,0,0,1
1,9003,24,17,6,12.16666667,12,14,10,13.3,1
1,9254,18,6,5,12,5,8,3,11.33333333,2
1,8014,33,7,6,11,6,11,5,11,3
1,9500,22,8,7,13.08,8,8,7,13.08,3
1,9670,25,7,4,10.5,5,7,5,11.6,3
1,9070,20,9,6,10.66666667,6,6,5,11.2,3
1,9147,23,6,4,14,5,5,5,13.8,2
1,9119,18,9,2,10,5,9,0,0,2
1,9500,24,18,0,0,7,7,0,0,1
0,9773,21,6,6,14,6,6,6,13.5,3
1,9130,26,7,2,12,6,6,0,0,1
1,9853,39,12,3,12.66666667,6,14,0,0,1
1,8014,44,11,8,11.875,6,7,6,12.33333333,3
1,9119,19,9,5,14,5,11,3,13.25,2
1,9773,18,6,6,13.66666667,6,6,6,13.33333333,3
1,9500,18,7,7,13.75,8,9,8,14.47777778,3
1,9085,19,7,5,14.2,5,7,5,13.8,2
0,9500,19,10,4,11.96,7,7,0,0,1
1,9085,21,12,8,12.875,9,14,5,13.4,1
1,171,20,0,0,0,0,0,0,0,3
1,8014,36,0,0,0,6,0,0,0,1
1,9003,43,19,18,14.63157895,13,14,13,14.23076923,3
1,9853,19,0,0,0,6,0,0,0,1
1,9070,20,12,10,13,11,11,11,12.27272727,3
1,9238,19,0,0,0,6,0,0,0,1
1,9085,20,15,4,14.2,6,17,4,13.25,1
1,9500,20,9,6,13.26666667,7,10,5,12.3,1
1,9853,20,12,6,11.66666667,7,10,3,13,2
1,9238,18,8,6,13.85714286,6,6,6,15,3
1,9147,18,9,3,13,5,11,3,11,2
1,9085,19,6,5,13.4,5,5,5,12.8,3
1,9773,18,6,6,12.66666667,6,7,6,12.57142857,3
1,9500,18,7,6,12.51666667,7,7,6,12.51666667,1
1,9500,20,11,6,11.61666667,7,7,7,13,2
1,9238,20,13,2,10,6,12,4,10.75,2
1,9147,20,11,3,10.33333333,5,10,3,10.66666667,2
1,9085,18,12,5,13.14285714,5,6,5,11.4,3
1,9147,18,5,5,12.6,5,5,5,14,3
1,9254,21,12,3,11,6,12,2,11,1
1,9147,19,8,5,10.8,5,9,4,11.25,3
1,171,19,0,0,0,0,0,0,0,1
1,9670,19,5,5,12.8,5,5,5,14.2,3
1,9085,19,15,6,14.16666667,6,13,6,12.2,3
1,9556,19,12,5,12.1,7,0,0,0,1
1,9085,20,7,6,14.16666667,6,17,5,13.77777778,3
1,9853,18,8,5,12.8,6,7,5,13.4,2
1,9238,18,7,6,13,6,6,6,13.66666667,3
1,9500,19,7,7,13.46714286,8,9,8,15.01111111,3
1,9500,18,9,7,13.2375,8,9,7,13.74285714,1
1,9070,18,6,6,12.33333333,6,6,6,13,3
1,9147,19,7,5,12.4,5,5,5,14.6,3
1,9500,19,8,5,14,7,7,0,0,1
1,9238,20,15,9,11.66666667,7,8,7,11.71428571,3
0,9670,19,7,5,12,6,9,4,12.5,1
1,9670,20,7,4,12.2,5,5,4,11.5,3
1,9773,18,6,6,14.83333333,6,6,6,14.83333333,3
1,9500,20,9,5,13.188,8,9,7,12.89285714,2
1,9500,18,8,7,17.125,8,8,8,17.5875,3
1,9500,19,7,6,12.66666667,7,7,6,12.66666667,3
1,9773,19,8,6,12.66666667,6,10,5,12,3
0,9147,22,8,0,0,5,7,0,0,2
1,9238,19,7,6,11.33333333,6,6,6,11.5,3
1,9500,19,10,7,13.605,8,11,8,12.33125,3
1,9853,19,10,5,12,6,9,5,10.8,3
1,9254,19,10,0,0,5,10,0,0,1
1,9254,20,8,5,11.2,6,12,3,11.66666667,1
1,9147,18,10,5,13.375,5,9,5,14.16666667,3
1,9500,20,8,6,13.86333333,8,9,7,14.17857143,3
1,171,18,0,0,0,0,0,0,0,2
1,9085,19,6,5,12.4,5,6,5,13.4,3
1,9853,18,11,3,12.33333333,6,10,5,10.83333333,2
1,9853,18,7,6,13.33333333,6,8,5,11.8,3
1,9853,21,10,3,12.66666667,6,12,3,10,1
1,9853,19,8,6,12,6,10,4,11.5,1
1,9147,18,5,5,10.6,5,5,5,11.8,3
1,9238,18,8,6,12.25,6,7,6,11.85714286,3
1,9238,20,10,4,11,6,9,6,11.83333333,3
1,8014,24,11,5,11,6,9,5,12.6,3
1,9670,19,6,6,13.16666667,6,9,6,13,1
1,9500,18,9,7,12.85555556,8,12,7,12.76111111,3
1,9500,18,8,7,14.91875,8,8,8,15.355,3
1,9853,21,13,4,11.5,6,10,3,11,1
1,9670,19,5,5,14.2,5,5,5,14.2,3
1,9773,19,6,6,12.5,6,7,6,13,3
1,9003,47,1,0,0,6,0,0,0,2
1,9238,19,10,5,11.66666667,6,12,4,11,3
1,9500,29,8,7,14.25714286,8,8,7,14.25714286,3
1,9238,21,13,3,12,6,12,2,11.33333333,1
1,9085,28,13,4,11.25,5,11,4,10.5,2
1,9556,20,8,7,12.45714286,8,8,8,13.5625,3
1,9500,19,7,6,11.68333333,7,7,6,11.68333333,3
1,8014,26,10,3,11.66666667,6,8,5,12,3
0,9254,20,8,4,11.75,6,6,6,13.16666667,1
